id,Descripción,Link
481,"hombre brasileño nativo de la tribu tupí guaraní pintando su rostro, brasil (indio) ",https://media.istockphoto.com/id/814700552/es/foto/hombre-brasile%C3%B1o-nativo-de-la-tribu-tup%C3%AD-guaran%C3%AD-pintando-su-rostro-brasil.jpg?s=612x612&w=0&k=20&c=ymPQGkgZLIBSap2ZGrktzlxp-lqBA_Db8f3JbSU8sQI=
482,modo de vida. joven indígena descalzo y sin camisa en la orilla del río ,https://media.istockphoto.com/id/2150699383/es/foto/modo-de-vida-joven-ind%C3%ADgena-descalzo-y-sin-camisa-en-la-orilla-del-r%C3%ADo.jpg?s=612x612&w=0&k=20&c=qtprPpKNSd1QmGJF8k2gc51SozkY6rFFK7oGFrQ1NSE=
483,"un retrato de un joven indígena, fotografiando en su aldea amazónica en medio de la selva tropical en una granja orgánica de piña. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2158706330/es/foto/un-retrato-de-un-joven-ind%C3%ADgena-fotografiando-en-su-aldea-amaz%C3%B3nica-en-medio-de-la-selva.jpg?s=612x612&w=0&k=20&c=eaSAuNkY7aIE4HvNf2NCulW5rPn_pvnRFZwHE6cNqiM=
484,"un retrato masculino indígena joven, fotografiando en su aldea amazónica en medio de la selva tropical. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2158706307/es/foto/un-retrato-masculino-ind%C3%ADgena-joven-fotografiando-en-su-aldea-amaz%C3%B3nica-en-medio-de-la-selva.jpg?s=612x612&w=0&k=20&c=WStp5QB4J4n4B7k_DrgzG2dfgZtrq1S9vFe6Oyhf3Z8=
485,"un retrato de un joven indígena, fotografiando en su aldea amazónica en medio de la selva tropical sosteniendo un pequeño periquito en sus manos. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2158706445/es/foto/un-retrato-de-un-joven-ind%C3%ADgena-fotografiando-en-su-aldea-amaz%C3%B3nica-en-medio-de-la-selva.jpg?s=612x612&w=0&k=20&c=cZZ3XAs9QSQdH9n9k-V2_5Sps4JcsOAO2GZR6kr0nuU=
486,"un retrato masculino indígena joven, fotografiando en su aldea amazónica en medio de la selva tropical vistiendo una falda masculina típica. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2158706329/es/foto/un-retrato-masculino-ind%C3%ADgena-joven-fotografiando-en-su-aldea-amaz%C3%B3nica-en-medio-de-la-selva.jpg?s=612x612&w=0&k=20&c=-PC5qehKCblu0uUF52oqjMALWKbU47lanS7ZtJK7L6E=
487,"un retrato masculino indígena joven, fotografiando en su aldea amazónica en medio de la selva tropical. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2158706301/es/foto/un-retrato-masculino-ind%C3%ADgena-joven-fotografiando-en-su-aldea-amaz%C3%B3nica-en-medio-de-la-selva.jpg?s=612x612&w=0&k=20&c=hB9eGxLcfGKvKpVXoEke1lSU37HjnjuLDjd7P3SILMA=
488,"un retrato masculino indígena joven, fotografiando en su aldea amazónica en medio de la selva tropical. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2158706312/es/foto/un-retrato-masculino-ind%C3%ADgena-joven-fotografiando-en-su-aldea-amaz%C3%B3nica-en-medio-de-la-selva.jpg?s=612x612&w=0&k=20&c=Yk1TpVtHwQPOk6NQ4jESDwsjXpFLWdceRmIAnbtWeNY=
489,"un retrato masculino indígena joven, fotografiando en su aldea amazónica en medio de la selva tropical. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2158706309/es/foto/un-retrato-masculino-ind%C3%ADgena-joven-fotografiando-en-su-aldea-amaz%C3%B3nica-en-medio-de-la-selva.jpg?s=612x612&w=0&k=20&c=-5HItaN6qALRRw6VEHp0J_FtjTmRdqOxH3UiBhPop4A=
490,hombre tribal nativo del orinoco cosechando alimentos de palmeras ,https://media.istockphoto.com/id/1364301065/es/foto/hombre-tribal-nativo-del-orinoco-cosechando-alimentos-de-palmeras.jpg?s=612x612&w=0&k=20&c=Wiex5z854tBqK4PaBPq5e11I22RZiWL11Q3iE0yKEVA=
491,"mujer brasileña indígena, de etnia guaraní, preparar la comida de palmito ",https://media.istockphoto.com/id/1018791618/es/foto/mujer-brasile%C3%B1a-ind%C3%ADgena-de-etnia-guaran%C3%AD-preparar-la-comida-de-palmito.jpg?s=612x612&w=0&k=20&c=OTr-1f3hgQLng4pjJqjbH_ZE_l4Wdzeuy4jhiYMAXaI=
492,hombres indígenas mayores de la tribu asurini en brasil ,https://media.istockphoto.com/id/1392104179/es/foto/hombres-ind%C3%ADgenas-mayores-de-la-tribu-asurini-en-brasil.jpg?s=612x612&w=0&k=20&c=J5s4SAG5g5grWjB5NvMQ1rMtDvNL0ehExaX6qoYSmrA=
493,mujer indígena de la tribu asuruni ,https://media.istockphoto.com/id/1391765577/es/foto/mujer-ind%C3%ADgena-de-la-tribu-asuruni.jpg?s=612x612&w=0&k=20&c=OEwM4asxMUEPnBpHw5r64njKjrt-_wf4OsBq_hphrJA=
494,mujer indígena de la tribu arawete en la amazonía brasileña ,https://media.istockphoto.com/id/1392411850/es/foto/mujer-ind%C3%ADgena-de-la-tribu-arawete-en-la-amazon%C3%ADa-brasile%C3%B1a.jpg?s=612x612&w=0&k=20&c=3EJUccjGpeUOTTWa9WKUlmrKtlfUQItNk4FG7JyeL2I=
495,un niño de la amazonía de brasil con unos lápices de colores dibujando en casa sobre una mesa ,https://media.istockphoto.com/id/2168230325/es/foto/un-ni%C3%B1o-de-la-amazon%C3%ADa-de-brasil-con-unos-l%C3%A1pices-de-colores-dibujando-en-casa-sobre-una-mesa.jpg?s=612x612&w=0&k=20&c=OSKBd3lGT9jFl8sg6LToIq_ZP0DbqVrJuAd32Mng2-E=
496,mujer indígena pintando arte tribal ,https://media.istockphoto.com/id/1391925185/es/foto/mujer-ind%C3%ADgena-pintando-arte-tribal.jpg?s=612x612&w=0&k=20&c=LcLvFGYhx2GNqDRLPyk_dngPvVkzTaSYcY-DsX7aEy4=
497,mujer indígena sentada en medio de la hierba y abundantes flores a su alrededor con las manos levantadas y los ojos cerrados en una ceremonia tradicional ,https://media.istockphoto.com/id/2152675032/es/foto/mujer-ind%C3%ADgena-sentada-en-medio-de-la-hierba-y-abundantes-flores-a-su-alrededor-con-las-manos.jpg?s=612x612&w=0&k=20&c=7wyTs1w17z00eRDVITCiCwL0C8nLNB8dPSAgMvh-Isw=
498,mujer indígena cocina pescado al horno y pan a la parrilla. ,https://media.istockphoto.com/id/1256770425/es/foto/mujer-ind%C3%ADgena-cocina-pescado-al-horno-y-pan-a-la-parrilla.jpg?s=612x612&w=0&k=20&c=IVlktuc-soYEnr3rT7D4XKUPuWcVibarKRfWItfKTHU=
499,mujer indígena cocina pescado al horno y pan a la parrilla. ,https://media.istockphoto.com/id/1256770422/es/foto/mujer-ind%C3%ADgena-cocina-pescado-al-horno-y-pan-a-la-parrilla.jpg?s=612x612&w=0&k=20&c=8GPyLJaS7-uw5_xPsK6gRY6Kqk01eiPCACFXV62lDeM=
500,"joven turista latina descubriendo, caminando, disfrutando, sintiéndose libre, viajando por la región amazónica usando sus binoculares para ver las aves y animales salvajes en medio de las selvas tropicales ecuatorianas en alguna parte del ecuador ",https://media.istockphoto.com/id/1385130733/es/foto/joven-turista-latina-descubriendo-caminando-disfrutando-sinti%C3%A9ndose-libre-viajando-por-la.jpg?s=612x612&w=0&k=20&c=6yHcD0MBm7IndBgDHL3Y6KyZ4DM3eK8h6N6oI0MI3Hw=
501,un joven indígena que trabaja en una granja orgánica en su aldea amazónica en medio de la selva tropical. tribu quichua / kichwa napuruna. ,https://media.istockphoto.com/id/2158706414/es/foto/un-joven-ind%C3%ADgena-que-trabaja-en-una-granja-org%C3%A1nica-en-su-aldea-amaz%C3%B3nica-en-medio-de-la.jpg?s=612x612&w=0&k=20&c=b3j_OTBCRUCWxBRK7pqL8wpKeB6ztxFl6jmr1QBuYUo=
502,mujer indígena pintando arte tribal geométrico ,https://media.istockphoto.com/id/1392114525/es/foto/mujer-ind%C3%ADgena-pintando-arte-tribal-geom%C3%A9trico.jpg?s=612x612&w=0&k=20&c=d1rkaeZ6GGL-ME31fbmcet-mKoTR8949R1wdJBmsF3Q=
503,mujer indígena meditando en un lugar sagrado en la selva ,https://media.istockphoto.com/id/2152672850/es/foto/mujer-ind%C3%ADgena-meditando-en-un-lugar-sagrado-en-la-selva.jpg?s=612x612&w=0&k=20&c=xK6hO2jDQYIbdZRI6GAhyEZtMJxKq50IIUTyjmdpkzA=
504,nativo americano mujer ,https://media.istockphoto.com/id/498565697/es/foto/nativo-americano-mujer.jpg?s=612x612&w=0&k=20&c=23IOtZHtITVibwbKOqSwb1BYpSmgjWUjUEtVJlJmZxU=
505,mujer nativa tribal del orinoco cosechando alimentos de palmeras ,https://media.istockphoto.com/id/1364301072/es/foto/mujer-nativa-tribal-del-orinoco-cosechando-alimentos-de-palmeras.jpg?s=612x612&w=0&k=20&c=Oimgev2IFnChE3Fs2jVS5VgAyuX_j6xTB9HjIGnq-P4=
506,mujer embarazada latina ,https://media.istockphoto.com/id/920702018/es/foto/mujer-embarazada-latina.jpg?s=612x612&w=0&k=20&c=hyjKiKRn7iZE5zFEj88gg-vQhx3XLUK3eCVPQwLuDuo=
507,"joven turista latina descubriendo, caminando, disfrutando, sintiéndose libre y viajando alrededor de una plantación de té en sangay, región amazónica, en medio de las selvas tropicales ecuatorianas en alguna parte del ecuador, cerca de perú y brasil. ",https://media.istockphoto.com/id/1385130164/es/foto/joven-turista-latina-descubriendo-caminando-disfrutando-sinti%C3%A9ndose-libre-y-viajando-alrededor.jpg?s=612x612&w=0&k=20&c=JTlQ9oPEgi6Ep8QG9JYt4lFLF3N_6z_Mff0RBzPXvs4=
508,guerrero nativo americano mujer ,https://media.istockphoto.com/id/498565671/es/foto/guerrero-nativo-americano-mujer.jpg?s=612x612&w=0&k=20&c=xYhzGsWro7nCyMUYyBVDg8H369juGnKilzMBzlXTTr4=
509,"un retrato femenino indígena joven y hermoso, vestida con su atuendo tradicional de su tribu de rodaje en su aldea en medio de la selva tropical en un día soleado. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2154778467/es/foto/un-retrato-femenino-ind%C3%ADgena-joven-y-hermoso-vestida-con-su-atuendo-tradicional-de-su-tribu-de.jpg?s=612x612&w=0&k=20&c=hCLAsitdN24nGREncc_FrvHBKx4TpZluIAGVFR2fBo0=
510,joven indígena con pintura facial río nadando ,https://media.istockphoto.com/id/1391952984/es/foto/joven-ind%C3%ADgena-con-pintura-facial-r%C3%ADo-nadando.jpg?s=612x612&w=0&k=20&c=evQbiej-nYZd3d0MweQHMPirAWabVoXCJQni0wda5wA=
511,mujer indígena sentada en la amazonía del ecuador con vestimenta tradicional de su cultura y sosteniendo un velo blanco en alto en un ritual ,https://media.istockphoto.com/id/1810610922/es/foto/mujer-ind%C3%ADgena-sentada-en-la-amazon%C3%ADa-del-ecuador-con-vestimenta-tradicional-de-su-cultura-y.jpg?s=612x612&w=0&k=20&c=N7YJ7sHAAsh8BfjvFeZc6KGNiKN5SvbV_OKRKndDM7I=
512,"un retrato femenino indígena joven y hermoso, vestida con su atuendo tradicional mientras juega con un pequeño periquito / pájaro disparando en su aldea tribu. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2154778528/es/foto/un-retrato-femenino-ind%C3%ADgena-joven-y-hermoso-vestida-con-su-atuendo-tradicional-mientras-juega.jpg?s=612x612&w=0&k=20&c=fkBM5aCYUh3uhrke6qMs5mTuJbX1vNFC3jkWvg6B_g0=
513,retrato de mujer india con instrumentos de percusión ,https://media.istockphoto.com/id/1679389258/es/foto/retrato-de-mujer-india-con-instrumentos-de-percusi%C3%B3n.jpg?s=612x612&w=0&k=20&c=sM2p54E9y0xNrNd1Lc-V0I5nUpZf6_eWxa7zQcRTySw=
514,"un retrato femenino indígena joven y hermoso, vestida con su atuendo tradicional de su tribu de tiro en su aldea con el río amazonas en la espalda. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2154778542/es/foto/un-retrato-femenino-ind%C3%ADgena-joven-y-hermoso-vestida-con-su-atuendo-tradicional-de-su-tribu-de.jpg?s=612x612&w=0&k=20&c=wecsfc7B2f0Xx3fWIjXVHeUfTu-XQeBcNJVNiOROmP4=
515,copyspace de hermosa joven india haciendo yoga y realizando ejercicios espirituales en la naturaleza ,https://media.istockphoto.com/id/1810609832/es/foto/copyspace-de-hermosa-joven-india-haciendo-yoga-y-realizando-ejercicios-espirituales-en-la.jpg?s=612x612&w=0&k=20&c=ithcLopjD1vZ_1i1U4gPh0GODBUV3UlHfWABAHba-Wc=
516,hombre nativo del río orinoco sosteniendo un rifle ,https://media.istockphoto.com/id/1364301085/es/foto/hombre-nativo-del-r%C3%ADo-orinoco-sosteniendo-un-rifle.jpg?s=612x612&w=0&k=20&c=Gu9c1qUAd0wTowjKlKiodL0ji7wOxL2A_w_pLsra5fI=
517,nativo retrato de mujer de brasil ,https://media.istockphoto.com/id/497749924/es/foto/nativo-retrato-de-mujer-de-brasil.jpg?s=612x612&w=0&k=20&c=_kkYg8p_FcFhLxiL-OAOdn1eEIoLCbbppB0QJrFkBOo=
518,chamán en la selva de ecuador ,https://media.istockphoto.com/id/1140815173/es/foto/cham%C3%A1n-en-la-selva-de-ecuador.jpg?s=612x612&w=0&k=20&c=eyGI4qSXtgBCODRo4qplyWojbb7J4Uj3vPpBpsd6LkU=
519,nativo retrato de mujer de brasil ,https://media.istockphoto.com/id/497749860/es/foto/nativo-retrato-de-mujer-de-brasil.jpg?s=612x612&w=0&k=20&c=FQmjCx3KGWa6Hx4X-e3XptSbTXaVfEXySDVkciijfFU=
520,"joven turista latina descubriendo, caminando, disfrutando, viajando, sintiéndose libre y caminando a través de un puente de cable en la región amazónica, en medio de las selvas tropicales ecuatorianas en alguna parte del ecuador, cerca de perú y brasi ",https://media.istockphoto.com/id/1385129604/es/foto/joven-turista-latina-descubriendo-caminando-disfrutando-viajando-sinti%C3%A9ndose-libre-y-caminando.jpg?s=612x612&w=0&k=20&c=pxljS9A4uvRLrzObVneYB2C3ks2lOeblA87SlUTbgmY=
521,un joven indígena ofrece una calabaza de bebida ,https://media.istockphoto.com/id/2157993811/es/foto/un-joven-ind%C3%ADgena-ofrece-una-calabaza-de-bebida.jpg?s=612x612&w=0&k=20&c=hc4XxrhxPc4G0lnGPIzunhrI8z9H33Cl7gxhJLE2ZeU=
522,cacique jefe de la tribu amazónica asurini en brasil ,https://media.istockphoto.com/id/1391924709/es/foto/cacique-jefe-de-la-tribu-amaz%C3%B3nica-asurini-en-brasil.jpg?s=612x612&w=0&k=20&c=3aiDgizn_agryZioW4I_FB5i4xpvzCes-eEG7u-ySeA=
523,mujer indígena mayor haciendo artesanías ,https://media.istockphoto.com/id/1857578718/es/foto/mujer-ind%C3%ADgena-mayor-haciendo-artesan%C3%ADas.jpg?s=612x612&w=0&k=20&c=n_6hqvfsvP_8YoSx4VaX9uIVR_TdE8YQgZJX7ekEJME=
524,"mujer preparando alimentos en la tribu tupí guaraní en manaus, brasil ",https://media.istockphoto.com/id/889470768/es/foto/mujer-preparando-alimentos-en-la-tribu-tup%C3%AD-guaran%C3%AD-en-manaus-brasil.jpg?s=612x612&w=0&k=20&c=4S3F2XiAJcXR0FCclNb4mG9n-UEFIrUYfniShZxUp9E=
525,"mujer de la tribu tupí guaraní en manaus, brasil ",https://media.istockphoto.com/id/889470604/es/foto/mujer-de-la-tribu-tup%C3%AD-guaran%C3%AD-en-manaus-brasil.jpg?s=612x612&w=0&k=20&c=msLB283OR25emuDYR2uekKWTMLh2e-mlu6QKts_AMnI=
526,"mujer indígena de pipas de tribu tupí guaraní en el bosque, brasil ",https://media.istockphoto.com/id/889470792/es/foto/mujer-ind%C3%ADgena-de-pipas-de-tribu-tup%C3%AD-guaran%C3%AD-en-el-bosque-brasil.jpg?s=612x612&w=0&k=20&c=h_2yhsSQr9OvGHbUj2_qIb_Nd14UIMkLjg2Sn-RKcj0=
527,retrato en primer plano de una niña indígena de la amazonía leyendo un libro en su casa cerca de la ciudad de manaos mirando a la cámara con hermosos colores y vestimenta tradicional de su etnia ,https://media.istockphoto.com/id/2167735456/es/foto/retrato-en-primer-plano-de-una-ni%C3%B1a-ind%C3%ADgena-de-la-amazon%C3%ADa-leyendo-un-libro-en-su-casa-cerca.jpg?s=612x612&w=0&k=20&c=bbx4aKg9EEHU6CnLUVUed-Y_ZjTMp2_BJ__IWTyMBxc=
528,retrato de una mujer indígena de la tribu wassú en la aldea ,https://media.istockphoto.com/id/2170529700/es/foto/retrato-de-una-mujer-ind%C3%ADgena-de-la-tribu-wass%C3%BA-en-la-aldea.jpg?s=612x612&w=0&k=20&c=glWfDz5e_VyBxC9nsIg7fFb47P8wI3qYVZU3lZWpVsQ=
529,"mujer preparando alimentos en la tribu tupí guaraní en manaus, brasil ",https://media.istockphoto.com/id/889470686/es/foto/mujer-preparando-alimentos-en-la-tribu-tup%C3%AD-guaran%C3%AD-en-manaus-brasil.jpg?s=612x612&w=0&k=20&c=CwKOWJA3gpRHHAtmGb45zYiVrCvBkwLKBzSfeHrT0M4=
530,nativo retrato de mujer de brasil ,https://media.istockphoto.com/id/497749444/es/foto/nativo-retrato-de-mujer-de-brasil.jpg?s=612x612&w=0&k=20&c=YxJ4s1T-JE25oq83BMpLZA87JmWq3ykpV-uGA2jDMVg=
531,"niño brasileño nativo de tupi guarani tribu, brasil ",https://media.istockphoto.com/id/890135432/es/foto/ni%C3%B1o-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-brasil.jpg?s=612x612&w=0&k=20&c=rxJXJav9wsZJn0zE-ghc6AzJzgaPHY-5nhjpHH7eU6Y=
532,mujer embarazada latina ,https://media.istockphoto.com/id/920702002/es/foto/mujer-embarazada-latina.jpg?s=612x612&w=0&k=20&c=nAtlaLCSypRUoJmU-mLkZJnWnOon94MVs9cjPUIRRl4=
533,nativo retrato de mujer de brasil ,https://media.istockphoto.com/id/497750846/es/foto/nativo-retrato-de-mujer-de-brasil.jpg?s=612x612&w=0&k=20&c=EDkwtQd8QC6gYVW9i3TUIbQDBZHk7whwuvBd40Y9lyU=
534,nativo retrato de mujer de brasil ,https://media.istockphoto.com/id/497749528/es/foto/nativo-retrato-de-mujer-de-brasil.jpg?s=612x612&w=0&k=20&c=bTTnxzrzmFe3LCsvN6btS5-f6XjYddgbgkGhrQHKBfc=
535,"niño brasileño nativo de tupi guarani tribu, brasil ",https://media.istockphoto.com/id/890135434/es/foto/ni%C3%B1o-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-brasil.jpg?s=612x612&w=0&k=20&c=K-e00siPmKNoGVaV0T_oqnU0yzGLXTeRvWMpJLblqYc=
536,joven indígena nadando ,https://media.istockphoto.com/id/1392114308/es/foto/joven-ind%C3%ADgena-nadando.jpg?s=612x612&w=0&k=20&c=OUBKOtLT0f9BVlG3yJceJhLAPHiim3xePqtK1yNkR-Q=
537,nativo brasileño hombre viejo jugando acanaladura de madera ,https://media.istockphoto.com/id/497710948/es/foto/nativo-brasile%C3%B1o-hombre-viejo-jugando-acanaladura-de-madera.jpg?s=612x612&w=0&k=20&c=fLCTRGwd3lmfFdRYOrZIh9n0NhC8J1o4euQ_9-yTl9w=
538,"joven turista latina descubriendo, caminando, disfrutando, sintiéndose libre y viajando alrededor de una plantación de té en sangay, región amazónica, en medio de las selvas tropicales ecuatorianas en alguna parte del ecuador, cerca de perú y brasil. ",https://media.istockphoto.com/id/1385129609/es/foto/joven-turista-latina-descubriendo-caminando-disfrutando-sinti%C3%A9ndose-libre-y-viajando-alrededor.jpg?s=612x612&w=0&k=20&c=YYGvk5D0VkPb54Nsdkx2ltAUPyUaVvFM7GPHH1c8uG8=
539,"hombre boliviano pagando con una moneda en el mercado de los domingos en rurrenabaque, bolivia ",https://media.istockphoto.com/id/818130464/es/foto/hombre-boliviano-pagando-con-una-moneda-en-el-mercado-de-los-domingos-en-rurrenabaque-bolivia.jpg?s=612x612&w=0&k=20&c=HHpn6xTyBpXq5mQzv6x46d1yHF5XmeAsnUO60Zl5E98=
540,"mujer boliviana con sombrero en las calles de rurrenabaque, bolivia ",https://media.istockphoto.com/id/818136496/es/foto/mujer-boliviana-con-sombrero-en-las-calles-de-rurrenabaque-bolivia.jpg?s=612x612&w=0&k=20&c=JeK55oRgd41XEdiMcBy-zdZkWypWbtYKk977VgXs2CQ=
541,anciano chamán indígena de nacionalidad cofan realizando ritual de curación a una mujer cofan en la selva amazónica ,https://media.istockphoto.com/id/1344369439/es/foto/anciano-cham%C3%A1n-ind%C3%ADgena-de-nacionalidad-cofan-realizando-ritual-de-curaci%C3%B3n-a-una-mujer-cofan.jpg?s=612x612&w=0&k=20&c=9T7Odv7WpyrgjuQFRl-NdVW7atI9RK7s_bmEBV1XiS4=
542,hombre brasileño nativo de tupi guarani tribu en brasil (indio) ,https://media.istockphoto.com/id/890135378/es/foto/hombre-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-en-brasil.jpg?s=612x612&w=0&k=20&c=2G2cFUu4eGezf3vGjNn9yxqkcyW_6FM65SNEwdzTuoQ=
543,"hombre indígena de tribu tupí guaraníes en la selva, brasil ",https://media.istockphoto.com/id/890127240/es/foto/hombre-ind%C3%ADgena-de-tribu-tup%C3%AD-guaran%C3%ADes-en-la-selva-brasil.jpg?s=612x612&w=0&k=20&c=Yx2BOThRh-_OBHLkoK4JNu97RCZfgca4cmidzfAkDtI=
544,"hombre indígena de tribu tupí guaraníes en la selva, brasil ",https://media.istockphoto.com/id/890127244/es/foto/hombre-ind%C3%ADgena-de-tribu-tup%C3%AD-guaran%C3%ADes-en-la-selva-brasil.jpg?s=612x612&w=0&k=20&c=tKJVld0mzLuWBOBFHzFm7TZ-jrpDd2bgJLNf3CHzsgA=
545,"hombre brasileño nativo de la tribu tupí guaraní pintando su rostro, brasil (indio) ",https://media.istockphoto.com/id/814697750/es/foto/hombre-brasile%C3%B1o-nativo-de-la-tribu-tup%C3%AD-guaran%C3%AD-pintando-su-rostro-brasil.jpg?s=612x612&w=0&k=20&c=4EjTKSRJ1on5VlIocvdp85s-zSAA1sPMNWVZ3ETydwk=
546,hombre brasileño nativo de tupi guarani tribu en brasil (indio) ,https://media.istockphoto.com/id/814700570/es/foto/hombre-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-en-brasil.jpg?s=612x612&w=0&k=20&c=RUU9e6TrW3KdSgOMn-NMYU0FzAZbCTwEKdAltIAJ4Hw=
547,hombre indígena con pintura facial ,https://media.istockphoto.com/id/1391923455/es/foto/hombre-ind%C3%ADgena-con-pintura-facial.jpg?s=612x612&w=0&k=20&c=E0hqdXzZjuCgtQy_L0kAvVMkYzbTDAkf5g2NNxgN6gU=
548,"un retrato femenino indígena joven y hermoso, vestida con su atuendo tradicional bailando con su tribu mientras filma en su aldea. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2154778419/es/foto/un-retrato-femenino-ind%C3%ADgena-joven-y-hermoso-vestida-con-su-atuendo-tradicional-bailando-con.jpg?s=612x612&w=0&k=20&c=-czDNON00wFh6ekc_lTOz6xnyTZ5yzbQMlB8L1OKJZ8=
549,un joven indígena que trabaja en una finca de caña de azúcar en su aldea amazónica en medio de la selva tropical. tribu quichua / kichwa napuruna. ,https://media.istockphoto.com/id/2158706433/es/foto/un-joven-ind%C3%ADgena-que-trabaja-en-una-finca-de-ca%C3%B1a-de-az%C3%BAcar-en-su-aldea-amaz%C3%B3nica-en-medio-de.jpg?s=612x612&w=0&k=20&c=1iDRn6gFfN0uOVkBNMSbjh5-_9E3H-3ygr1Z3zE14zk=
550,joven como indio nativo en el desfile en ecuador ,https://media.istockphoto.com/id/1253926104/es/foto/joven-como-indio-nativo-en-el-desfile-en-ecuador.jpg?s=612x612&w=0&k=20&c=jIUXeof7aWcu2VR0QVZ_OzOfqXPiLxVsDYbgfLvrCzs=
551,mujer india haciendo saludo al sol en el bosque ,https://media.istockphoto.com/id/1679388724/es/foto/mujer-india-haciendo-saludo-al-sol-en-el-bosque.jpg?s=612x612&w=0&k=20&c=fFgjVBMCDHsEi2nQI6WrhR2d5c7Fm-h4lvVRp6c5zNo=
552,un joven indígena que trabaja en una finca orgánica de naranjilla en su aldea amazónica en medio de la selva tropical. tribu quichua / kichwa napuruna. ,https://media.istockphoto.com/id/2158706424/es/foto/un-joven-ind%C3%ADgena-que-trabaja-en-una-finca-org%C3%A1nica-de-naranjilla-en-su-aldea-amaz%C3%B3nica-en.jpg?s=612x612&w=0&k=20&c=JrTuy9gOLVMxSAxYQUUg5Z84Fw18NMWiWrNUm3NUcG4=
553,"un retrato femenino indígena joven y hermoso, vestida con su atuendo tradicional de su tribu de rodaje en su aldea en medio de la selva tropical en un día soleado. tribu quichua / kichwa napuruna. ",https://media.istockphoto.com/id/2154778474/es/foto/un-retrato-femenino-ind%C3%ADgena-joven-y-hermoso-vestida-con-su-atuendo-tradicional-de-su-tribu-de.jpg?s=612x612&w=0&k=20&c=PXbxW17LfxT3AUkPP3jl6GmfABxU8xWjVbwFedcjRWI=
554,un joven indígena lleva una escalera y levanta el pulgar ,https://media.istockphoto.com/id/2157993795/es/foto/un-joven-ind%C3%ADgena-lleva-una-escalera-y-levanta-el-pulgar.jpg?s=612x612&w=0&k=20&c=nvygz_UIRscTREi9AXPS5yyJCAJtqMqY2yTYty6rRmA=
555,joven indígena con pintura corporal ,https://media.istockphoto.com/id/1392107082/es/foto/joven-ind%C3%ADgena-con-pintura-corporal.jpg?s=612x612&w=0&k=20&c=JBUTo8RdAIEBsptXdaI2AAPgD_lfyXZOW1GF8NRvLos=
556,siona mujer peeling raíces yucca ,https://media.istockphoto.com/id/1140815292/es/foto/siona-mujer-peeling-ra%C3%ADces-yucca.jpg?s=612x612&w=0&k=20&c=D_jGNmAtTAaYaN10oc7O_wJZf9AqFabin9X9hKM-zI8=
557,los hombres mayores soplando en la cerbatana ,https://media.istockphoto.com/id/1150793944/es/foto/los-hombres-mayores-soplando-en-la-cerbatana.jpg?s=612x612&w=0&k=20&c=jYh0EF5Joobs_3uPf1pN_h42ySFBB_MhKx-4WyT8aPQ=
558,una mujer indígena lleva una gran canasta de tubérculos de yuca en su espalda ,https://media.istockphoto.com/id/2157119446/es/foto/una-mujer-ind%C3%ADgena-lleva-una-gran-canasta-de-tub%C3%A9rculos-de-yuca-en-su-espalda.jpg?s=612x612&w=0&k=20&c=sP7oZnfLnZDt_o7oBIZ-M-HNC_5AvP19t1A8YUQ6HAM=
559,retrato de niño nativos brasileño ,https://media.istockphoto.com/id/495834500/es/foto/retrato-de-ni%C3%B1o-nativos-brasile%C3%B1o.jpg?s=612x612&w=0&k=20&c=HUPp5Dfbjuh7y8uXDy95PWI9_VM-HsyREldb60h7ESw=
560,siona mujer preparando yucca para hornear pan ,https://media.istockphoto.com/id/1140815088/es/foto/siona-mujer-preparando-yucca-para-hornear-pan.jpg?s=612x612&w=0&k=20&c=7O-UVyB6n6IcTO2Xl9naThYjA_hw-hHPq1JhwqOIC_w=
561,un joven indígena bebe cerveza de yuca de una calabaza ,https://media.istockphoto.com/id/2157119477/es/foto/un-joven-ind%C3%ADgena-bebe-cerveza-de-yuca-de-una-calabaza.jpg?s=612x612&w=0&k=20&c=GGozZtsM_hlLPx1nLCoiovXrc-KHbeQX1H71GSE4Jzk=
562,siona la mujer horneando pan de yucca ,https://media.istockphoto.com/id/1140816245/es/foto/siona-la-mujer-horneando-pan-de-yucca.jpg?s=612x612&w=0&k=20&c=74xMkNgonOkRbCSWwg0fxD8mg1aqTuQPsr2_JNJNiVg=
